hotspot_id,time_block,historical_violation_count,centroid_lat,centroid_lon,estimated_delay_minutes,resource_cost,confidence_score
2,Friday_0600,19,12.955495304981191,77.51965000730594,30.5,3,0.22727272727272727
2,Friday_0700,12,12.955495304981191,77.51965000730594,20.0,2,0.18181818181818182
2,Friday_0800,10,12.955495304981191,77.51965000730594,17.0,2,0.09090909090909091
2,Friday_0900,12,12.955495304981191,77.51965000730594,20.0,2,0.045454545454545456
2,Friday_1800,2,12.955495304981191,77.51965000730594,5.0,1,0.045454545454545456
2,Friday_1900,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Friday_2000,2,12.955495304981191,77.51965000730594,5.0,1,0.045454545454545456
2,Friday_2100,2,12.955495304981191,77.51965000730594,5.0,1,0.09090909090909091
2,Friday_2200,3,12.955495304981191,77.51965000730594,6.5,1,0.045454545454545456
2,Monday_0100,15,12.955495304981191,77.51965000730594,24.5,2,0.045454545454545456
2,Monday_0200,18,12.955495304981191,77.51965000730594,29.0,3,0.045454545454545456
2,Monday_0500,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Monday_0600,18,12.955495304981191,77.51965000730594,29.0,3,0.045454545454545456
2,Monday_0700,14,12.955495304981191,77.51965000730594,23.0,2,0.22727272727272727
2,Monday_0900,16,12.955495304981191,77.51965000730594,26.0,3,0.045454545454545456
2,Monday_1800,8,12.955495304981191,77.51965000730594,14.0,2,0.045454545454545456
2,Monday_1900,27,12.955495304981191,77.51965000730594,42.5,3,0.045454545454545456
2,Monday_2000,3,12.955495304981191,77.51965000730594,6.5,1,0.09090909090909091
2,Monday_2200,3,12.955495304981191,77.51965000730594,6.5,1,0.09090909090909091
2,Monday_2300,5,12.955495304981191,77.51965000730594,9.5,1,0.13636363636363635
2,Saturday_0000,2,12.955495304981191,77.51965000730594,5.0,1,0.09090909090909091
2,Saturday_0200,18,12.955495304981191,77.51965000730594,29.0,3,0.045454545454545456
2,Saturday_0400,10,12.955495304981191,77.51965000730594,17.0,2,0.09090909090909091
2,Saturday_0500,8,12.955495304981191,77.51965000730594,14.0,2,0.09090909090909091
2,Saturday_0600,20,12.955495304981191,77.51965000730594,32.0,3,0.18181818181818182
2,Saturday_0700,9,12.955495304981191,77.51965000730594,15.5,2,0.22727272727272727
2,Saturday_0800,6,12.955495304981191,77.51965000730594,11.0,2,0.09090909090909091
2,Saturday_0900,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Saturday_1800,24,12.955495304981191,77.51965000730594,38.0,3,0.045454545454545456
2,Saturday_1900,3,12.955495304981191,77.51965000730594,6.5,1,0.09090909090909091
2,Saturday_2000,3,12.955495304981191,77.51965000730594,6.5,1,0.045454545454545456
2,Saturday_2100,5,12.955495304981191,77.51965000730594,9.5,1,0.09090909090909091
2,Saturday_2200,2,12.955495304981191,77.51965000730594,5.0,1,0.045454545454545456
2,Saturday_2300,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Sunday_0000,9,12.955495304981191,77.51965000730594,15.5,2,0.09090909090909091
2,Sunday_0100,10,12.955495304981191,77.51965000730594,17.0,2,0.18181818181818182
2,Sunday_0200,8,12.955495304981191,77.51965000730594,14.0,2,0.09090909090909091
2,Sunday_0300,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Sunday_0400,7,12.955495304981191,77.51965000730594,12.5,2,0.18181818181818182
2,Sunday_0500,4,12.955495304981191,77.51965000730594,8.0,1,0.045454545454545456
2,Sunday_0600,36,12.955495304981191,77.51965000730594,56.0,3,0.2727272727272727
2,Sunday_0700,22,12.955495304981191,77.51965000730594,35.0,3,0.2727272727272727
2,Sunday_0800,9,12.955495304981191,77.51965000730594,15.5,2,0.18181818181818182
2,Sunday_2000,2,12.955495304981191,77.51965000730594,5.0,1,0.045454545454545456
2,Sunday_2100,1,12.955495304981191,77.51965000730594,3.5,1,0.045454545454545456
2,Sunday_2300,30,12.955495304981191,77.51965000730594,47.0,3,0.045454545454545456
2,Thursday_0000,2,12.955495304981191,77.51965000730594,5.0,1,0.045454545454545456
2,Thursday_0100,2,12.955495304981191,77.51965000730594,5.0,1,0.045454545454545456
2,Thursday_0200,20,12.955495304981191,77.51965000730594,32.0,3,0.09090909090909091
2,Thursday_0300,2,12.955495304981191,77.51965000730594,5.0,1,0.045454545454545456
2,Thursday_0400,16,12.955495304981191,77.51965000730594,26.0,3,0.22727272727272727
